"Sorted Insertion Sort","Run Time","Comparisons","Swaps"
"",2.84,998001,47950
"",2.975,998001,56689
"",2.864,998001,49602
"",2.979,998001,59410
"",2.837,998001,49822
"",3.011,998001,63024
"",2.801,998001,43970
"",2.894,998001,54561
"",2.96,998001,57983
