"Sorted MergeSort","Run Time","Comparisons","Swaps"
"",1.209,103472,227089
"",1.266,106116,229733
"",1.211,104918,228535
"",1.215,105871,229488
"",1.216,106132,229749
"",1.28,101255,224872
"",1.221,106021,229638
"",1.235,102846,226463
"",1.22,107282,230899
"",1.215,105169,228786
"AVG",1.2288,104908,228525
