"Unsorted MergeSort","Run Time","Comparisons","Swaps"
"",1.158,90497,214114
"",1.151,91554,215171
"",1.154,94664,218281
"",1.165,96213,219830
"",1.275,93619,217236
"",1.161,95415,219032
"",1.142,91801,215418
"",1.156,94958,218575
"",1.169,95737,219354
"",1.159,91384,215001
"AVG",1.169,93584,217201
