"Sorted Insertion Sort","Run Time","Comparisons","Swaps"
"",264.87,99980001,2060766
"",267.335,99980001,2326776
"",262.245,99980001,1936365
"",263.612,99980001,2047208
"",257.82,99980001,1489669
"",261.964,99980001,2037696
"",263.508,99980001,2066164
"",263.808,99980001,2179338
