"Unsorted Insertion Sort","Run Time","Comparisons","Swaps"
"",3.469,998001,97188
"",3.528,998001,94668
"",3.434,998001,93998
"",3.424,998001,95550
"",3.411,998001,94304
"",3.463,998001,97311
"",3.434,998001,95664
